cpcv2,description,common_name,display_name,es_name,fr_name,pt_name,ar_name,aliases,hs2012,scientific_name,per_country_aliases
R0,"Agriculture, forestry and fishery products",,"Agriculture, forestry and fishery products",,,,,[],,,[]
R01,"Products of agriculture, horticulture and market gardening","Agriculture products, horticulture, market gardening","Agriculture products, horticulture, market gardening","Productos agrícolas, horticultura","Produits agricoles, horticulture, maraîchage","Produtos agrícolas, horticultura, horta comercial",,[],,,[]
R011,Cereals,,Cereals,,,,,[],,,[]
R0111,Wheat,,Wheat,,,,,[],,,[]
R01111,Wheat planting seed,Wheat planting seed,Wheat planting seed,Semilla de siembra de trigo,Semences de blé,Semente de plantação de trigo,,"['semillas de trigo', 'semences de ble', 'triticum aestivum']","['1001.11', '1001.91']",Triticum aestivum,[]
R01111AA,Wheat planting seed,Wheat planting seed,Wheat planting seed,,,,,['triticum aestivum'],"['1001.11', '1001.91']",Triticum aestivum,[]
R01112,Wheat grain,,Wheat grain,Grano de trigo,Grain de blé,Grão de trigo,,['triticum aestivum'],"['1001.99', '1001.19']",Triticum aestivum,[]
R01112AA,"Wheat grain, other",Wheat Grain,Wheat Grain,,,,,"['imported wheat (grains)', 'froment', 'grurë', 'blé ordinaire', ""'0111"", 'trigo', 'wheat (milling, f.o.b. aktau port)', 'local wheat', 'wheat (milling, d.a.p. saryagash station)', '01112', 'gehun', 'trigo blanco', 'trigo blando', 'white wheat', 'buğday', 'blé', '01112a', 'wheat (milling)', 'ko-mugi', 'wheat (3rd class, bid, exw, processing)']",['1001.19'],Triticum aestivum,"[OrderedDict([('country', 'RU'), ('product', 'R01112AA'), ('aliases', ['Wheat (Milling, 3rd class, offer, EXW)'])]), OrderedDict([('country', 'IN'), ('product', 'R01112AA'), ('aliases', ['wheat'])])]"
R01112AB,Wheat grain,"Wheat Grain (No. 2, Soft Red Winter)","Wheat Grain (No. 2, Soft Red Winter)",,,,,"['01112b', 'soft red winter wheat', 'wheat (us no. 2, soft red winter)', 'wheat (no. 2, soft red winter)', 'triticum aestivum', 'wheat, other, no. 2 soft red winter', 'wheat grain (no. 2, soft red winter)']",,Triticum aestivum,[]
R01112AC,Wheat grain,Wheat Grain (ASW),Wheat Grain (ASW),,,,,"['wheat grain (asw)', '01112c', 'triticum aestivum', 'wheat, other, asw', 'wheat (asw)']",,Triticum aestivum,[]
R01112AD,Wheat grain,Wheat Grain (CWRS),Wheat Grain (CWRS),,,,,"['wheat, other, canadian western red spring', 'wheat (cwrs)', '01112d', 'triticum aestivum']",,Triticum aestivum,[]
R01112AE,Wheat grain,Wheat grain (Grade 1),Wheat grain (Grade 1),,,,,"['wheat grain (grade 1)', 'wheat, grain, grade 1', 'triticum aestivum', 'wheat (grade 1)', '01112e']",,Triticum aestivum,[]
R01112AF,Wheat grain,"Wheat grain (No. 2, Hard Red Winter)","Wheat grain (No. 2, Hard Red Winter)",,,,,"['01112f', 'wheat (us no. 2, hard red winter)', 'wheat (hrw)', 'wheat, grain, no. 2 hard red winter', 'wheat grain (no. 2, hard red winter)']",,Triticum aestivum,[]
R01112AG,Wheat grain,Wheat Grain (Trigo Pan),Wheat Grain (Trigo Pan),,,,,"['bread wheat', '01112g', 'wheat, other, trigo pan', 'wheat (trigo pan)', 'wheat grain (trigo pan)', 'common wheat', 'wheat (argentina, trigo pan, up river, f.o.b.)']",,Triticum aestivum,[]
R01112AH,Wheat grain,Wheat Grain (Food Aid),Wheat Grain (Food Aid),,,,,"['wheat (food aid)', 'common wheat', 'wheat, other, food aid', 'graine de blé (aide alimentaire)', 'wheat grain (food aid)', '01112h']",,Triticum aestivum,[]
R01112AI,Wheat grain,Wheat (Durum),Wheat (Durum),,,,,"['blé dur', 'trigo moruno', 'rivet wheat', 'trigo polaco', 'khorassan wheat', 'trigo candeal', 'trigo duro', 'wheat (durum)', 'blé de pologne', 'hard wheat', 'cone wheat', 'blé poulard', 'wheat, grain, durum', 'oriental wheat']",['1001.99'],Triticum durum,[]
R01112AJ,Wheat grain,Wheat (Einkorn),Wheat (Einkorn),,,,,"['escaña menor', 'escaña menor silvestre', 'small spelt', 'escanda menor', 'petit épeautre', 'escana', 'wheat, grain, einkorn', 'little spelt', 'wild einkorn', 'escafia menor']",,Triticum monococcum,[]
R01112AK,Wheat grain,Wheat (Emmer),Wheat (Emmer),,,,,"['dinkel wheat', 'awned wheat', 'hulled wheat', 'macha wheat', 'épeautre', 'emmer wheat', 'amidonier', 'escanda', 'escaña', 'kaplica', 'spelt', 'espelta', 'escaña silvestre', 'esafia almidora', 'trigo maka']",,Triticum dicoccum,[]
R01112AL,Grain,Meslin,Meslin,,,,,"['maslin', 'wheat-rye mix']",,,[]
R01112AM,Grain,Wheat/Spelt mix,Wheat/Spelt mix,,,,,[],,Triticum spp.,[]
R0112,Maize/corn,Maize/corn,Maize/corn,,,,,[],,Zea mays,[]
R01121,Maize/corn planting seed,Maize/corn planting seed,Maize/corn planting seed,Semilla de siembra de maíz,Semences de maïs,Semente de plantação de milho,,[],['1005.10'],Zea mays,[]
R01121AA,Maize/corn planting seed,Maize/corn planting seed,Maize/corn planting seed,,,,,[],,Zea mays,[]
R01122,Maize/corn grain,Maize/corn grain,Maize/corn grain,Maíz en grano,Grain de maïs,Grão de milho,,[],['1005.90'],Zea mays,[]
R01122AA,"Maize grain (corn), other",Maize (Corn),Maize (Corn),,,,,"['maize (argentina, up river, f.o.b.)', 'maize grain (corn), other', '0112', 'maïs', 'maiz', 'milho', 'mais paddy', 'maíz', 'mais', 'maize (corn)', '01122', 'maize grain', 'corn', 'local maize', '01122f', 'maíz en grano', 'maize', 'imported maize']",['1005.90'],Zea mays,[]
R01122AB,"Maize grain (corn), other, yellow",Maize Grain (Yellow),Maize Grain (Yellow),,,,,"['jan masara', 'maïs grain jaune', 'agbado pupa', 'yellow corn', 'maize (yellow)', 'maiz amarillo', '01122a', 'yellow maize', 'maíz amarillo de primera', 'mais jaune', 'mais en grain', 'maize grain (yellow)', '01122f', 'maïs jaune', 'maize grain (corn), other, yellow', 'maize (yellow, feedlot)', 'maíz amarillo, de primera']",,Zea mays indentata,"[OrderedDict([('country', 'PA'), ('product', 'R01122AB'), ('aliases', ['Maíz en Grano'])])]"
R01122AC,"Maize grain (corn), other, white",Maize Grain (White),Maize Grain (White),,,,,"['maize grain - kg', 'maize (white)', 'maíz blanco de primera', 'maiz blanco', 'maíz blanco, de primera', 'maize grain (corn), other, white', 'faran masara', 'mais', 'agbado funfun', '01122b', 'maïs grain blanc', 'white maize', 'maïs (blanc)', 'maíz blanco', 'mais local', 'white maize 1kg', 'mais (blanc)']",,Zea mays indentata,[]
R01122AD,"Maize grain (corn), other, yellow no. 2","Maize Grain (Yellow, No. 2)","Maize Grain (Yellow, No. 2)",,,,,"['01122c', 'maize (us no. 2, yellow)', 'maize grain (corn), other, yellow no. 2', 'maize (yellow no. 2)']",,Zea mays indentata,[]
R01122AE,"Maize/corn grain, fresh",Maize Grain (Fresh),Maize Grain (Fresh),,,,,"['maize (green)', 'maïs vert', 'fresh corn', 'choclo', 'green maize', '01122d', 'maize grain (fresh)', 'zea mays', 'elote', 'maíz choclo', 'maize/corn (fresh)', 'green corn', 'fresh maize']",,Zea mays,[]
R01122AF,"Maize grain (corn), other, mixed",Maize Grain (Mixed),Maize Grain (Mixed),,,,,"['mixed corn', 'zea mays', 'maize (mixed)', 'mixed maize', '01122e']",,Zea mays,[]
R01122AG,Fodder,"Maize/corn grain (yellow, feedlot)","Maize/corn grain (yellow, feedlot)",,,,,"['maize/corn grain (yellow, feedlot)', 'move to maize fodder', 'zea mays', 'maize/corn, grain, yellow feedlot']",,Zea mays indentata,[]
R01122AH,"Maize/corn grain, popcorn",Maize/corn grain (popcorn),Maize/corn grain (popcorn),,,,,"['popcorn', 'maíz palomero']",,Zea mays everta,[]
R01122AI,"Maize/corn grain, Dent",Maize/corn grain (Dent),Maize/corn grain (Dent),,,,,"['dent corn', 'maiz duro', 'maize/corn, grain, dent', 'dent maize', 'maiz duro seco', 'field corn']",,Zea mays indentada,"[OrderedDict([('country', 'EC'), ('product', 'R01122AI'), ('aliases', ['maíz duro', 'maíz duro seco', 'maíz duro choclo'])])]"
R01122AJ,"Maize/corn grain, flint",Maize/corn grain (Flint),Maize/corn grain (Flint),,,,,"['blue corn', 'flint maize', 'maiz morado', 'purple corn']",,Zea mays indurata,"[OrderedDict([('country', 'EC'), ('product', 'R01122AJ'), ('aliases', ['maíz morado', 'maíz morocho'])])]"
R01122AK,"Maize/corn grain, sweet",Maize/corn grain (sweet),Maize/corn grain (sweet),,,,,"['maíz saccharata', 'maiz saccharata', 'sweet corn']",,Zea mays saccharata,[]
R01122AL,"Maize grain (corn), amiláceo",Maize Grain (Amiláceo),Maize Grain (Amiláceo),,,,,[],,Zea mays amilacea,"[OrderedDict([('country', 'EC'), ('product', 'R01122AL'), ('aliases', ['maíz amilaceo', 'maíz suave', 'Flour corn', 'Maize/corn, flour'])])]"
R01122XX,"Maize/corn grain, unspecified","Maize, other (Unspecified)","Maize, other (Unspecified)",,,,,"['maize (offer, exw)', 'maize (bid, exw, processing)']",[],Zea mays,[]
R0113,Rice,Rice,Rice,Arroz,Riz,Arroz,,[],,Oryza sativa,[]
R01131,Rice planting seed,Rice planting seed,Rice planting seed,Semilla de siembra de arroz,Semences de riz,Sementes para plantação de arroz,,[],['1006.10'],Oryza sativa,[]
R01131AA,Rice planting seed,Rice planting seed,Rice planting seed,,,,,[],,Oryza sativa,[]
R01132,"Rice, not husked","Rice, not husked","Rice, not husked","Arroz, sin descascarar","Riz, non décortiqué","Arroz, não descascado",,[],['1006.10'],Oryza sativa,[]
R01132AA,"Rice, not husked, unspecified",Rice (Paddy),Rice (Paddy),,,,,"['riz paddy', '01132', 'arroz', 'brown rice', 'paddy rice', 'non-husked rice', 'riz', 'rice paddy, other (not husked)', 'rice (unspecified)', 'padi']",,Oryza sativa,[]
R01132AB,"Rice, not husked, aromatic",Rice (aromatic),Rice (aromatic),,,,,"['jasmine', 'long rice', 'indian long rice', 'perfumed rice', 'basmati']",,Oryza sativa,[]
R01132AC,"Rice, not husked, IRRI variety",Rice (IRRI variety),Rice (IRRI variety),,,,,[],,Oryza sativa,[]
R01132AD,"Rice, not husked",Rice (indigenous),Rice (indigenous),,,,,[],,Oryza sativa,[]
R01132AE,"Rice, not husked",Rice (glutinous Japanese),Rice (glutinous Japanese),,,,,['sticky rice'],,Oryza sativa japonica,[]
R01132AF,"Rice, not husked",Rice (glutinous Indian),Rice (glutinous Indian),,,,,['sticky rice'],,Oryza sativa indica,[]
R01132AG,"Rice, not husked",Genetically-modified rice,Genetically-modified rice,,,,,,,Oryza sativa,[]
R01132AH,"Rice, not husked",Indica rice,Indica rice,,,,,[],,Oryza sativa indica,[]
R01132AI,"Rice, not husked",Japonica rice,Japonica rice,,,,,,,Oryza sativa japonica,[]
R01133,"Rice, husked","Rice, husked","Rice, husked","Arroz, descascarillado",Riz décortiqué,"Arroz, descascado",,[],,Oryza sativa,[]
R01133AA,"Rice, husked, unspecified","Rice (Husked, Unspecified)","Rice (Husked, Unspecified)",,,,,['riz décortiqué'],,Oryza sativa,[]
R0114,Sorghum,Sorghum,Sorghum,Sorgo,Sorgho,Mapira,,[],,Sorghum bicolor,[]
R01141,Sorghum planting seed,Sorghum planting seed,Sorghum planting seed,Semilla de siembra de sorgo,Semences de sorgho,Semente de plantação de Mapira,,[],['1007.10'],Sorghum bicolor,[]
R01141AA,Sorghum planting seed,Sorghum (planting seed),Sorghum (planting seed),,,,,"['semilla de sorgo', 'sorgho, semences']",,Sorghum bicolor,[]
R01142,"Sorghum, grain",Sorghum grain,Sorghum grain,Grano de sorgo,Grain de sorgho,Grão de Mapira,,[],['1007.90'],Sorghum bicolor,[]
R01142AA,"Sorghum grain, other",Sorghum,Sorghum,,,,,"['imported sorghum', '0114', 'jower', 'sorgho', 'jowar', 'local sorghum', 'sorghum (unspecified)', 'sorgo', 'durra', 'petit mil (sorgho) pilé/mulu']",[],Sorghum bicolor,[]
R01142AB,"Sorghum, other, brown",Sorghum (Brown),Sorghum (Brown),,,,,"['sorghum (brown)', 'sorgho brun', '01142a', 'brown sorghum', 'sorghum bicolor', 'sorgho marron', 'oka baba pupa']",,Sorghum bicolor,[]
R01142AC,"Sorghum, other, red",Sorghum (Red),Sorghum (Red),,,,,"['red sorghum 1kg', 'sorghum (red)', 'sorghum bicolor', 'red sorghum', '01142b', 'sorgho rouge']",,Sorghum bicolor,[]
R01142AD,"Sorghum, other, white",Sorghum (White),Sorghum (White),,,,,"['sorgho blanc', 'sorgho (blanc)', 'sorgo blanco', 'oka baba funfun', 'white sorghum', 'white sorghum 1kg', 'sorghum bicolor', '01142c']",,Sorghum bicolor,[]
R01142AE,"Sorghum, other, yellow",Sorghum (Yellow),Sorghum (Yellow),,,,,"['yellow sorghum', '01142d', 'sorghum (yellow)', 'sorghum bicolor']",,Sorghum bicolor,[]
R01142AF,"Sorghum, other, mixed",Sorghum (Mixed),Sorghum (Mixed),,,,,"['01142e', 'mixed sorghum', 'sorghum (mixed)', 'sorghum bicolor']",,Sorghum bicolor,[]
R01142AG,"Sorghum, other, yellow no. 2",Sorghum (Yellow No. 2),Sorghum (Yellow No. 2),,,,,"['01142f', 'sorghum (yellow no. 2)', 'sorghum bicolor', 'sorghum (us no. 2, yellow)']",,Sorghum bicolor,[]
R01142AH,"Sorghum, other, Feterita",Sorghum (Feterita),Sorghum (Feterita),,,,,"['01142g', 'sorghum (feterita)', 'sorghum bicolor', 'sorgho (feterita)']",,Sorghum bicolor,[]
R01142AJ,"Sorghum, other, recessional",Sorghum (Recessional),Sorghum (Recessional),,,,,"['sorghum (recessional)', 'recessional sorghum', '01142i', 'sorghum bicolor']",,Sorghum bicolor,[]
R01142AK,"Sorghum grain, Millón",Sorghum grain (Millón),Sorghum grain (Millón),,,,,"['01142j', 'sorghum (millón)', 'sorghum bicolor']",,Sorghum bicolor,[]
R01142AL,"Bichna, mixed","Sorghum (Bichna, Mixed))","Sorghum (Bichna, Mixed))",,,,,"['sorghum bicolor', 'sorgho (bichna)']",,Sorghum bicolor,[]
R01142AM,"Sorghum, R'haya, brown","Sorghum (R'haya, Brown)","Sorghum (R'haya, Brown)",,,,,"[""sorgho (r'haya)"", 'sorghum bicolor']",,Sorghum bicolor,[]
R01142AN,"Sorghum, Taghalit, mixed","Sorghum (Taghalit, Mixed)","Sorghum (Taghalit, Mixed)",,,,,"['sorgho (taghalit)', 'sorghum bicolor']",,Sorghum bicolor,[]
R01142AO,Sorghum grain,Sorghum (Broom),Sorghum (Broom),,,,,['broom corn'],,Sorghum bicolor,"[OrderedDict([('country', 'EC'), ('product', 'R01142AO'), ('aliases', ['sorgo escobero'])])]"
R01142AP,"Sorghum, other, feterita, white","Sorghum (Feterita, White)","Sorghum (Feterita, White)",,,,,['white sorghum (feterita) grain'],,Sorghum bicolor,[]
R01142AQ,"Sorghum, industrial",Sorghum (industrial),Sorghum (industrial),,,,,[],,Sorghum bicolor,[]
R01142AR,"Sorghum, Dabar",Sorghum (Dabar),Sorghum (Dabar),,,,,[],,,[]
R01142AS,"Sorghum, Tabat",Sorghum (Tabat),Sorghum (Tabat),,,,,[],,,[]
R01142AT,"Sorghum, Berbere",Sorghum (Berbere),Sorghum (Berbere),,,,,"['sorghum (berbère)', 'sorghum, berbère']",[],,[]
R0115,Barley,,Barley,,,,,[],,,[]
R01151,Barley planting seed,Barley planting seed,Barley planting seed,,,,,['hordeum vulgare'],['1003.10'],,[]
R01152,Barley grain,Barley grain,Barley grain,Grano de cebada,Grain d'orge,Grão de cevada,,['hordeum vulgare'],['1003.90'],,[]
R01152AA,"Barley grain, unspecified",Barley (Unspecified),Barley (Unspecified),,,,,"['barley, other', 'local barley', 'cevada', 'cebada', 'jab', '01152', 'orge', '0115', 'imported barley']",['1003.90'],Hordeum vulgare,[]
R01152AB,"Barley, other, white",Barley (White),Barley (White),,,,,"['0115a', 'hordeum vulgare']",,Hordeum vulgare,[]
R01152AC,"Barley grain, naked",Barley grain (naked),Barley grain (naked),,,,,['hordeum vulgare'],,Hordeum vulgare,[]
R01152AD,Grain,Barley (2-row),Barley (2-row),,,,,,,Hordeum vulgare,[]
R01152AE,Grain,Barley (6-row),Barley (6-row),,,,,['escourgeon'],,Hordeum vulgare,[]
R0116,Rye,Rye,Rye,,,,,[],,Secale cereale,[]
R01161,Rye planting seed,Rye planting seed,Rye planting seed,,,,,[],['1002.10'],Secale cereale,[]
R01162,Rye grain,Rye grain,Rye grain,Grano de centeno,Grain de seigle,Grão de centeio,,[],['1002.90'],Secale  cereale,[]
R01162AA,Rye grain,Rye (Unspecified),Rye (Unspecified),,,,,"['01162', 'centeio', 'centeno', 'seigle']",,Secale cereale,[]
R0117,Oats,Oats,Oats,,,,,[],,Avena sativa,[]
R01171,Oat planting seed,Oats planting seed,Oats planting seed,,,,,[],['1004.10'],Avena sativa,[]
R01172,Oat grain,"Oats, grain","Oats, grain","Avena, grano","Avoine, céréale","Aveia, grão",,[],['1004.90'],Avena sativa,[]
R01172AA,"Oats, grain, unspecified",Oats (Unspecified),Oats (Unspecified),,,,,"['oats (other)', 'aja', 'aveia', 'avena', '01172']",,Avena sativa,[]
R01172AB,"Oats, including derivatives",,"Oats, including derivatives",,,,,"['avena y sus derivados', '01172a', '0117']",,,[]
R0118,Millet,Millet,Millet,,,,,[],,Millet spp.,[]
R01181,Millet planting seed,Millet planting seed,Millet planting seed,Semilla de siembra de mijo,Semences de mil,Semente de plantação de mexoeira,,[],['1008.21'],Millet spp.,[]
R01181AA,Millet planting seed,Millet (Planting Seed),Millet (Planting Seed),,,,,[],,Millet spp.,[]
R01182,Millet grain,Millet grain,Millet grain,Grano de mijo,Grain de mil,Grão de mexoeira,,[],['1008.29'],Millet spp.,[]
R01182AA,"Millet grain, other",Millet,Millet,,,,,"['imported millet', '0118', 'mil', 'millet (unspecified)', 'local millet', 'millet', 'maicillo', 'milhete', 'milho miúdo']",,Millet spp.,[]
R01182AB,"Millet, other, bulrush",Millet (Bulrush),Millet (Bulrush),,,,,"['01182a', 'burlush millet', 'mil (bulrush)', 'bulrush millet', 'bur lush millet']",,Pennisatum glaucum,[]
R01182AC,"Millet, grain, Finger",Millet (Finger),Millet (Finger),,,,,"['eleusine', 'éleusine', 'millet (finger)', '01182b', 'kurakkan', 'ragi', 'finger millet', 'rapoko']",,Eleusine coracana,[]
R01182AD,"Millet, grain, Pearl",Millet (Pearl),Millet (Pearl),,,,,"['mexoeira', 'pennisetum typhoides', 'nyankhombo', 'mil (perlé)', 'millet (pearl)', 'pearl millet', 'gero', '01182c', 'milheto', 'mil penicillaire', 'jero', 'bajra', 'mhunga', 'mil']",,Pennisatum glaucum,[]
R01182AE,Millet grain,Millet (Dembei),Millet (Dembei),,,,,"['01182d', 'millet (dembei)']",[],,[]
R01182AF,Millet grain,Millet (Proso),Millet (Proso),,,,,"['broom millet', 'cheena', 'broomcorn millet', 'meneri', 'white millet', 'kashfi millet', 'broomtail millet', 'red millet']",,Panicum miliaceum,[]
R01182AG,Millet grain,Millet (Foxtail),Millet (Foxtail),,,,,"['german millet', 'korra', 'italian millet', 'hungarian millet', 'green foxtail', 'kaon', 'panicum italicum']",,Setaria italica,[]
R01182AH,Millet grain,Millet (Barnyard),Millet (Barnyard),,,,,"['japanese millet', 'echinochloa frumentacea', 'japanese barnyard millet', 'varai']",,Echinochloa esculenta,[]
R01182AI,Millet grain,Millet (Little Millet),Millet (Little Millet),,,,,"['samai', 'indian millet']",,Panicum sumatrense,[]
R01182AJ,Millet grain,Millet (Kodo),Millet (Kodo),,,,,"['cow grass', 'ditch millet', 'varaku', 'kodra', 'indian crown grass', 'rice grass', 'native paspalum']",,Paspalum scrobiculatum,[]
R0119,Other Cereal,,Other Cereal,,,,,[],,,[]
R01190,Other Cereal,,Other Cereal,Otros cereales,Autre céréale,Outros Cereais,,[],,,[]
R01190AA,"Other cereal, mixed teff",Mixed Teff,Mixed Teff,,,,,"['teff (unspecified)', 'other cereals, mixed teff', 'teff mixed', '01190a', 'tef', 'teff']",,Eragrostis tef,[]
R01190AB,"Other Cereal, Fonio",Fonio,Fonio,,,,,"['01190', 'digitaria iburua', '01190b']",,Digitaria exilis,[]
R01190AD,"Other Cereal, 	Quinoa",Quinoa (unspecified),Quinoa (unspecified),,,,,"['quínua', 'quínoa']",,Chenopodium quinoa,[]
R01190AE,"Other Cereal, Buckwheat",Buckwheat (unspecified),Buckwheat (unspecified),,,,,['sarrasin'],,Fagopyrum esculentum,[]
R01190AF,"Other Cereal, Triticale",Triticale,Triticale,,,,,['triticale grano'],,Triticosecale,[]
R01190AG,"Other Cereal, Amaranth",Amaranth,Amaranth,,,,,"['amaranto', 'lal shak', 'hiyu', 'amarante', 'amaranthus', 'pigweed', 'chinese spinach', 'rajgira', 'phak khom', 'hinn choy']",,Amaranthus,[]
R01190AH,"Other Cereal, millet and sorghum",Millet and sorghum mix,Millet and sorghum mix,,,,,"['other cereals, millet and sorghum']",,,[]
R01190AI,"Other Cereal, Hairy amaranth",Hairy amaranth,Hairy amaranth,,,,,"['huauhzontle', 'guausoncle', 'huauthli', 'huauzontle', 'huanzontle']",,Chenopodium nuttalliae,[]
R01190AJ,"Other Cereal, Canahua",Canahua,Canahua,,,,,"['kaniwa', 'cañahua', 'canihua']",,Chenopodium pallidicaule,[]
R01190AK,"Other Cereal, 	Chia",Chia,Chia,,,,,['chía'],,Salvia hispanica,[]
R01190AL,"Other Cereal, Chan",Chan,Chan,,,,,['pignut'],,Hyptis suaveolens,[]
R01190AN,"Other Cereal, Foxtail amaranth",Foxtail amaranth,Foxtail amaranth,,,,,"['quelite', 'pendant amaranth', 'tassel flower', 'kiwicha', 'love-lies-bleeding', 'velvet flower', 'achita']",,Amaranthus caudatus,[]
R01190AO,"Other Cereal, Danta amaranth",Danta amaranth,Danta amaranth,,,,,"['callaloo', 'slender amaranth', 'green amaranth']",,Amaranthus viridus,[]
R01191,Other cereal planting seed,,Other cereal planting seed,Semilla de siembra de otros cereales,Autre semence de céréale,Outras sementes de plantação de cereais,,[],['1008.60'],,[]
R01191AA,Other cereal planting seed,Triticale planting seed,Triticale planting seed,,,,,[],,,[]
R01190XX,"Other Cereal, Cereal Crops (Mixed)",Cereal Crops (Mixed),Cereal Crops (Mixed),,,,,"['autres  céréales (non autrement specifiés)', '01190d', 'autres céréales (mixtes)', 'cereal crops (mixed)']",,,[]
R01190YY,Grain/Legume,Grain/Legume mix,Grain/Legume mix,,,,,[],,,[]
R012,Vegetable,,Vegetable,Verduras,Légume,Vegetais,,[],,,[]
R0121,Leafy/Stem Vegetable,Vegetables (Leafy or Stem),Vegetables (Leafy or Stem),Verduras (de hoja o tallo),Légumes (à feuilles ou à tiges),Vegetais (Folhosos ou Caule),,[],,,[]
R01211AA,Leafy/Stem Vegetable,Asparagus,Asparagus,,,,,"['espárrago', 'asperge', 'esparrago']",,Asparagus officinalis,[]
R01212AA,Leafy/Stem Vegetable,Cabbage (Unspecified),Cabbage (Unspecified),,,,,"['repollo', 'choux', 'col']",,Brassica oleracea capitata,[]
R01212AB,Leafy/Stem Vegetable,Ethiopian cabbage,Ethiopian cabbage,,,,,['01212a'],,Brassica oleracea capitata,[]
R01212AC,Leafy/Stem Vegetable,Turnip,Turnip,,,,,"['mediterranean turnip', 'african mustard', ""navette d'hiver"", 'nabo de invierno', 'brassica tournefortii', 'navet', 'yu tsai', 'natane', 'nabo', 'winter turnip rape', 'field mustard', 'asian mustard']",,Brassica rapa rapa/oleifera,[]
R01212AD,Leafy/Stem Vegetable,Chinese flowering cabbage,Chinese flowering cabbage,,,,,['choi sum'],,Brassica oleracea parachinensis,[]
R01212AE,Leafy/Stem Vegetable,Napa cabbage,Napa cabbage,,,,,"['pechay', 'chinese cabbage', 'col china']",,Brassica rapa pekinensis,[]
R01212AF,Leafy/Stem Vegetable,Bok Choy,Bok Choy,,,,,"['petsai', 'chingan choi', 'pok choi', 'chingensai', 'pak choi', 'chinese cabbage', 'boi choi', 'shanhai-bock-choy', 'pak choy', 'bok choi']",,Brassica rapa chinensis,"[OrderedDict([('country', 'PH'), ('product', 'R01212AF'), ('aliases', ['native pechay'])])]"
R01212AG,Leafy/Stem Vegetable,Red Cabbage,Red Cabbage,,,,,,,Brassica oleracea capitata,[]
R01213AA,Leafy/Stem Vegetable,Cauliflowers,Cauliflowers,,,,,"['couve-flor', 'cavolfiore', 'chouxfleur', 'coliflor', 'chou-fleur']",,Brassica oleracea botrytis,[]
R01213AB,Leafy/Stem Vegetable,Broccoli,Broccoli,,,,,"['brocoli', 'brócoli']",,Brassica oleracea italica,[]
R01213AC,Leafy/Stem Vegetable,Sarsoon,Sarsoon,,,,,['sarson'],,Brassica campestris,[]
R01213AD,Leafy/Stem Vegetable,Arugula,Arugula,,,,,"['rugula', 'colewart', 'garden rocket', 'rocca', 'rucola', 'roca', 'rucoli', 'roquette']",,Brassica eruca,[]
R01213AE,Leafy/Stem Vegetable,Kale,Kale,,,,,['kale-sukuma wiki'],,Brassica oleracea acephala,[]
R01213AF,Leafy/Stem Vegetable,Brussels Sprout,Brussels Sprout,,,,,[],,Brassica oleracea gemmifera,[]
R01213AG,Leafy/Stem Vegetable,Chinese Kale,Chinese Kale,,,,,[],,Brassica oleracea alboglabra,[]
R01213AH,Leafy/Stem Vegetable,Collard Green,Collard Green,,,,,[],,Brassica oleracea viridis,[]
R01213AI,Leafy/Stem Vegetable,Spinach mustard,Spinach mustard,,,,,"['mostaza espinaca', 'komatsuna', 'tendergreen', 'kabuna', 'moutarde épinard']",,Brassica rapa perviridis,[]
R01213AJ,Leafy/Stem Vegetable,Mizuna,Mizuna,,,,,"['mibuna', 'kyona']",,Brassica rapa nipposinica,[]
R01213AK,Leafy/Stem Vegetable,Chomolia,Chomolia,,,,,[],,,[]
R01213AL,Leafy/Stem Vegetables,Rape Leaves,Rape Leaves,,,,,[],,,[]
R01213AM,Leafy/Stem Vegetables,Vegetables/Leafy Vegetables,Vegetables/Leafy Vegetables,,,,,['légumes/feuilles'],,,[]
R01214AA,Leafy/Stem Vegetable,Lettuce (Unspecified),Lettuce (Unspecified),,,,,"['lechuga', 'alface', 'lettuce', 'laitue']",,Lactuca sativa,[]
R01214AB,Leafy/Stem Vegetable,Chicory,Chicory,,,,,[],,Cichorium intybus,[]
R01214AC,Leafy/Stem Vegetable,Iceberg lettuce,Iceberg lettuce,,,,,[],,Lactuca sativa,[]
R01215AA,Leafy/Stem Vegetable,Spinach,Spinach,,,,,"['epinards', 'espinaca']",,Spinacia oleracea,[]
R01216AA,Leafy/Stem Vegetable,Artichoke,Artichoke,,,,,"['artichaut', 'alcachofa']",,Cynara cardunculus scolymus,[]
R01216AB,Leafy/Stem Vegetable,Cardoon,Cardoon,,,,,['cardo'],,Cynara cardunculus,[]
R01219,Other Leafy/Stem Vegetable,,Other Leafy/Stem Vegetable,Otras verduras de hoja/tallo,Autre légume à feuilles/tiges,Outros vegetais de Folhosos/Caule,,[],['0709.99'],,[]
R01219AB,Leafy/Stem Vegetable,Swiss Chard,Swiss Chard,,,,,"['chard', '01219b', 'leaf beet', 'acelga', 'bette a card']",,Beta vulgaris cicla,[]
R01219AC,Leafy/Stem Vegetable,Sorrel,Sorrel,,,,,"['oseille', '01219c', 'spinach dock']",,Rumex acetosa,[]
R01219AD,Leafy/Stem Vegetable,Celery,Celery,,,,,"['01219d', 'apio']",,Apium graveolens,[]
R01219AH,Leafy/Stem Vegetable,Escarole,Escarole,,,,,['escarola'],,Cichorium endivia latifolia,[]
R01219AI,Leafy/Stem Vegetable,Watercress,Watercress,,,,,"['water cress', 'agriào', ""cresson d'eau"", 'berro']",,Nasturtium officinale,[]
