cpcv2,description,common_name,display_name,es_name,fr_name,pt_name,ar_name,aliases,hs2012,scientific_name,per_country_aliases
S5421,"General construction services of highways (except elevated highways), streets, roads, railways and airfield runways",,General construction services of highways (except elevated h...,,,,,[],,,[]
S54211,"General construction services of highways (except elevated highways), streets and roads",,General construction services of highways (except elevated h...,,,,,[],,,[]
S54212,General construction services of railways,,General construction services of railways,,,,,[],,,[]
S54213,General construction services of airfield runways,,General construction services of airfield runways,,,,,[],,,[]
S5422,"General construction services of bridges, elevated highways and tunnels",,"General construction services of bridges, elevated highways ...",,,,,[],,,[]
S54221,General construction services of bridges and elevated highways,,General construction services of bridges and elevated highwa...,,,,,[],,,[]
S54222,General construction services of tunnels,,General construction services of tunnels,,,,,[],,,[]
S5423,"General construction services of harbours, waterways, dams, water mains and lines, irrigation and other waterworks",,"General construction services of harbours, waterways, dams, ...",,,,,[],,,[]
S54231,"General construction services of aqueducts and other water supply conduits, except pipelines",,General construction services of aqueducts and other water s...,,,,,[],,,[]
S54232,General construction services of harbours and similar waterworks,,General construction services of harbours and similar waterw...,,,,,[],,,[]
S54233,General construction services of dams,,General construction services of dams,,,,,[],,,[]
S54234,General construction services of irrigation and flood control waterworks,,General construction services of irrigation and flood contro...,,,,,[],,,[]
S5424,"General construction services of long-distance pipelines, communication and power lines (cables)",,"General construction services of long-distance pipelines, co...",,,,,[],,,[]
S54241,General construction services of long-distance pipelines,,General construction services of long-distance pipelines,,,,,[],,,[]
S54242,General construction services of long-distance communication and power lines (cables),,General construction services of long-distance communication...,,,,,[],,,[]
S5425,General construction services of local pipelines and cables and related works,,General construction services of local pipelines and cables ...,,,,,[],,,[]
S54251,General construction services of local pipelines,,General construction services of local pipelines,,,,,[],,,[]
S54252,General construction services of local cables and related works,,General construction services of local cables and related wo...,,,,,[],,,[]
S54253,General construction services of sewage and water treatment plants,,General construction services of sewage and water treatment ...,,,,,[],,,[]
S5426,General construction services of mines and industrial plants,,General construction services of mines and industrial plants...,,,,,[],,,[]
S54261,General construction services of mines,,General construction services of mines,,,,,[],,,[]
S54262,General construction services of power plants,,General construction services of power plants,,,,,[],,,[]
S54269,General construction services of other industrial plants,,General construction services of other industrial plants,,,,,[],,,[]
S5427,General construction services of outdoor sport and recreation facilities,,General construction services of outdoor sport and recreatio...,,,,,[],,,[]
S54270,General construction services of outdoor sport and recreation facilities,,General construction services of outdoor sport and recreatio...,,,,,[],,,[]
S5429,General construction services of other civil engineering works,,General construction services of other civil engineering wor...,,,,,[],,,[]
S54290,General construction services of other civil engineering works,,General construction services of other civil engineering wor...,,,,,[],,,[]
S543,Site preparation services,,Site preparation services,,,,,[],,,[]
S5431,Demolition services,,Demolition services,,,,,[],,,[]
S54310,Demolition services,,Demolition services,,,,,[],,,[]
S5432,Site formation and clearance services,,Site formation and clearance services,,,,,[],,,[]
S54320,Site formation and clearance services,,Site formation and clearance services,,,,,[],,,[]
S5433,Excavating and earthmoving services,,Excavating and earthmoving services,,,,,[],,,[]
S54330,Excavating and earthmoving services,,Excavating and earthmoving services,,,,,[],,,[]
S5434,Water well drilling and septic system installation services,,Water well drilling and septic system installation services,,,,,[],,,[]
S54341,Water well drilling services,,Water well drilling services,,,,,[],,,[]
S54342,Septic system installation services,,Septic system installation services,,,,,[],,,[]
S544,Assembly and erection of prefabricated constructions,,Assembly and erection of prefabricated constructions,,,,,[],,,[]
S5440,Assembly and erection of prefabricated constructions,,Assembly and erection of prefabricated constructions,,,,,[],,,[]
S54400,Assembly and erection of prefabricated constructions,,Assembly and erection of prefabricated constructions,,,,,[],,,[]
S545,Special trade construction services,,Special trade construction services,,,,,[],,,[]
S5451,Pile driving and foundation services,,Pile driving and foundation services,,,,,[],,,[]
S54511,Pile driving services,,Pile driving services,,,,,[],,,[]
S54512,Foundation services,,Foundation services,,,,,[],,,[]
S5452,Construction framing services,,Construction framing services,,,,,[],,,[]
S54521,Building framing services,,Building framing services,,,,,[],,,[]
S54522,Roof framing services,,Roof framing services,,,,,[],,,[]
S5453,Roofing and waterproofing services,,Roofing and waterproofing services,,,,,[],,,[]
S54530,Roofing and waterproofing services,,Roofing and waterproofing services,,,,,[],,,[]
S5454,Concrete services,,Concrete services,,,,,[],,,[]
S54540,Concrete services,,Concrete services,,,,,[],,,[]
S5455,Structural steel erection services,,Structural steel erection services,,,,,[],,,[]
S54550,Structural steel erection services,,Structural steel erection services,,,,,[],,,[]
S5456,Masonry services,,Masonry services,,,,,[],,,[]
S54560,Masonry services,,Masonry services,,,,,[],,,[]
S5457,Scaffolding services,,Scaffolding services,,,,,[],,,[]
S54570,Scaffolding services,,Scaffolding services,,,,,[],,,[]
S5459,Other special trade construction services,,Other special trade construction services,,,,,[],,,[]
S54590,Other special trade construction services,,Other special trade construction services,,,,,[],,,[]
S546,Installation services,,Installation services,,,,,[],,,[]
S5461,Electrical installation services,,Electrical installation services,,,,,[],,,[]
S54611,Electrical wiring and fitting services,,Electrical wiring and fitting services,,,,,[],,,[]
S54612,Fire alarm installation services,,Fire alarm installation services,,,,,[],,,[]
S54613,Burglar alarm system installation services,,Burglar alarm system installation services,,,,,[],,,[]
S54614,Residential antenna installation services,,Residential antenna installation services,,,,,[],,,[]
S54619,Other electrical installation services,,Other electrical installation services,,,,,[],,,[]
S5462,Water plumbing and drain laying services,,Water plumbing and drain laying services,,,,,[],,,[]
S54621,Water plumbing services,,Water plumbing services,,,,,[],,,[]
S54622,Drain laying services,,Drain laying services,,,,,[],,,[]
S5463,"Heating, ventilation and air conditioning equipment installation services",,"Heating, ventilation and air conditioning equipment installa...",,,,,[],,,[]
S54631,Heating equipment installation services,,Heating equipment installation services,,,,,[],,,[]
S54632,Ventilation and air conditioning equipment installation services,,Ventilation and air conditioning equipment installation serv...,,,,,[],,,[]
S5464,Gas fitting installation services,,Gas fitting installation services,,,,,[],,,[]
S54640,Gas fitting installation services,,Gas fitting installation services,,,,,[],,,[]
S5465,Insulation services,,Insulation services,,,,,[],,,[]
S54650,Insulation services,,Insulation services,,,,,[],,,[]
S5469,Other installation services,,Other installation services,,,,,[],,,[]
S54691,Lift and escalator installation services,,Lift and escalator installation services,,,,,[],,,[]
S54699,Other installation services n.e.c.,,Other installation services n.e.c.,,,,,[],,,[]
S547,Building completion and finishing services,,Building completion and finishing services,,,,,[],,,[]
S5471,Glazing services,,Glazing services,,,,,[],,,[]
S54710,Glazing services,,Glazing services,,,,,[],,,[]
S5472,Plastering services,,Plastering services,,,,,[],,,[]
S54720,Plastering services,,Plastering services,,,,,[],,,[]
S5473,Painting services,,Painting services,,,,,[],,,[]
S54730,Painting services,,Painting services,,,,,[],,,[]
S5474,Floor and wall tiling services,,Floor and wall tiling services,,,,,[],,,[]
S54740,Floor and wall tiling services,,Floor and wall tiling services,,,,,[],,,[]
S5475,"Other floor laying, wall covering and wall papering services",,"Other floor laying, wall covering and wall papering services...",,,,,[],,,[]
S54750,"Other floor laying, wall covering and wall papering services",,"Other floor laying, wall covering and wall papering services...",,,,,[],,,[]
S5476,Joinery and carpentry services,,Joinery and carpentry services,,,,,[],,,[]
S54760,Joinery and carpentry services,,Joinery and carpentry services,,,,,[],,,[]
S5477,Fencing and railing services,,Fencing and railing services,,,,,[],,,[]
S54770,Fencing and railing services,,Fencing and railing services,,,,,[],,,[]
S5479,Other building completion and finishing services,,Other building completion and finishing services,,,,,[],,,[]
S54790,Other building completion and finishing services,,Other building completion and finishing services,,,,,[],,,[]
