"CPC21code","CPC21partial","HS12code","HS12partial"
"02129",0,"0106.19",1
"02131",1,"0101.21",0
"02131",1,"0101.29",0
"02132",0,"0101.30",0
"02133",0,"0101.90",0
"02140",1,"0103.10",0
"02140",1,"0103.91",0
"02140",1,"0103.92",0
"02151",1,"0105.11",0
"02151",1,"0105.94",0
"02152",1,"0105.12",0
"02152",1,"0105.99",1
"02153",1,"0105.14",0
"02153",1,"0105.99",1
"02154",1,"0105.13",0
"02154",1,"0105.99",1
"02155",1,"0105.15",0
"02155",1,"0105.99",1
"02191",0,"0106.14",0
"02192",1,"0106.11",0
"02192",1,"0106.12",0
"02192",1,"0106.19",1
"02193",0,"0106.33",0
"02194",1,"0106.31",0
"02194",1,"0106.32",0
"02194",1,"0106.39",0
"02195",0,"0106.20",0
"02196",0,"0106.41",0
"02199",1,"0106.49",0
"02199",1,"0106.90",0
"02211",1,"0401.20",1
"02211",1,"0401.40",1
"02211",1,"0401.50",1
"02212",1,"0401.20",1
"02212",1,"0401.40",1
"02212",1,"0401.50",1
"02291",1,"0401.20",1
"02291",1,"0401.40",1
"02291",1,"0401.50",1
"02292",1,"0401.20",1
"02292",1,"0401.40",1
"02292",1,"0401.50",1
"02293",1,"0401.20",1
"02293",1,"0401.40",1
"02293",1,"0401.50",1
"02299",1,"0401.20",1
"02299",1,"0401.40",1
"02299",1,"0401.50",1
"02311",0,"0407.11",0
"02312",0,"0407.21",0
"02321",0,"0407.19",0
"02322",0,"0407.29",0
"02411",0,"0511.10",0
"02419",0,"0511.99",1
"02420",0,"0511.99",1
"02910",0,"0409.00",0
"02920",1,"0307.60",0
"02920",1,"1605.58",0
"02930",0,"0410.00",0
"02941",0,"5101.11",0
"02942",1,"5101.19",0
"02942",1,"5102.20",0
"02943",1,"5102.11",0
"02943",1,"5102.19",0
"02944",0,"5001.00",0
"02951",1,"4101.20",1
"02951",1,"4101.50",1
"02951",1,"4101.90",1
"02952",1,"4101.20",1
"02952",1,"4101.50",1
"02952",1,"4101.90",1
"02953",1,"4102.10",0
"02953",1,"4102.21",0
"02953",1,"4102.29",0
"02954",0,"4103.90",1
"02955",1,"4301.10",0
"02955",1,"4301.30",0
"02955",1,"4301.60",0
"02955",1,"4301.80",0
"02955",1,"4301.90",0
"02959",1,"4103.20",0
"02959",1,"4103.30",0
"02959",1,"4103.90",1
"02960",0,"1521.90",0
"03110",0,"4403.20",0
"03120",1,"4403.41",0
"03120",1,"4403.49",0
"03120",1,"4403.91",0
"03120",1,"4403.92",0
"03120",1,"4403.99",0
"03131",0,"4401.10",1
"03132",0,"4401.10",1
"03211",0,"4001.30",0
"03219",1,"1301.20",0
"03219",1,"1301.90",0
"03220",0,"4501.10",0
"03230",0,"0802.90",1
"03241",0,"0604.20",1
"03249",1,"0604.20",1
"03249",1,"0604.90",0
"03250",1,"1401.10",0
"03250",1,"1401.20",0
"03250",1,"1401.90",0
"03250",1,"1404.90",0
"04111",1,"0301.11",1
"04111",1,"0301.19",1
"04112",1,"0301.11",1
"04112",1,"0301.19",1
"04191",1,"0301.91",1
"04191",1,"0301.92",1
"04191",1,"0301.93",1
"04191",1,"0301.94",1
"04191",1,"0301.95",1
